TCM_name;TCM_name_en;Herb_pinyin_name;Herb_latin_name;Properties;Meridian_1;Meridian_2;Meridian_3;Meridian_4;Meridian_5;Meridian_6;UsePart;Function;Indication;Toxicity;Clinical_manifestations;Therapeutic_en_class;Therapeutic_cn_class
紫贝齿;Purple cowrie shell;ZI BEI CHI;Concha Mauritiae Arabicae;"Mild; Salty";Liver;;;;;;;Treatment of: 1. Palpitations, irritability, insomnia, dream-disturbed sleep or infantile convulsions due to high fever. Purple cowrie shell (Zibeichi) is used with Coptis root (Huanglian), Mother-of-pearl (Zhenzhumu) and Antelope's horn (Lingyangjiao). 2. Wind and heat in the liver meridian manifested as red, swollen and painful eyes or visual obstruction, or hyperactivity of liver yang manifested as dizziness, vertigo and headache. Purple cowrie shell (Zibeichi) is used with Chrysanthemum flower (Juhua), Mulberry leaf (Sangye) and Uncaria stem (Gouteng).;Treatment of: 1. Palpitations, irritability, insomnia, dream-disturbed sleep or infantile convulsions due to high fever. Purple cowrie shell (Zibeichi) is used with Coptis root (Huanglian), Mother-of-pearl (Zhenzhumu) and Antelope's horn (Lingyangjiao). 2;;;For calming liver and containing wind;平肝息风
白花蛇;Bungarus Minimus;BAI HUA SHE;Bungarus Parvus;;;;;;;;Bungarus multicinctus multicinctus Blyth.;Treatment of rheumatism, especially the intractable cases and those with wandering arthralgia, numbness of the extremities and muscular spasm, also for apoplexy complicated by distortion of face and hemiplegia. Treatment of infantile convulsion, tetanus and convulsion after apoplexy. Treatment of itching induced by scabies, tinea infection and urticaria. Treatment of leprosy, scrofula, and aevere skin infections.;1. Analgesic, sedative. 2. Hypotensive owing to its vasodilative effect.;;1. Analgesic, sedative. 2. Hypotensive owing to its vasodilative effect.;For dispelling wind-dampness;祛风湿
扁豆花;flower of Hyacinth Dolichos;BIAN DOU HUA;Flos Dolichoris;"Mild; Sweet";;;;;;;;To strengthen the spleen and transform dampness;To clear summer-heat and eliminate dampness from the upper-jiao, invigorate the spleen and strengthen the stomach: For summer heat-dampness syndrome with feeling of oppression in the chest, dysuria and diarrhea, vomiting, diarrhea and dysentery of dampnes;;;Dampness Removing Drugs;化湿药
;Lobelia Falsehellebore;BAN BIAN LIAN ZHUANG LI LU;Veratrum album var. lobelianum [Syn. Veratrum lobelianum];;;;;;;;root and rhizome;To relieve pain, kill worms and ejection.;Wind-damp impediment pain, knocks and falls, scab and lichen, malign sore, mania and withdrawal with congesting phlegm.;;;;
乌贼骨;Cuttlefish bone, Cuttlebone;WU ZEI GU;Os Sepiae seu SepiellaeZoological Name;"Minor Warm; Salty";Stomach; Liver;;;;;;Treatment of: 1. Hemorrhage. Cuttlefish bone (Wuzeigu) is used with Rubia root (Qiancao), Carbonized petiole of windmill palm (Zonglutan) and Donkey hide gelatin (Ejiao). Cuttlefish bone (Wuzeigu) can be used alone for bleeding due to external injuries. 2. Deficiency of the kidneys manifested as seminal emissions or leukorrhea. Cuttlefish bone (Wuzeigu) is used with Dogwood fruit (Shanzhuyu), Dioscorea (Shanyao), Dadder seed (Tusizi) and Oyster shell (Muli). 3. Stomach pain and acid regurgitation. Cuttlefish bone (Wuzeigu) is used with Tendrilled fritillary bulb (Chuanbeimu) in the formula Wu Bei San. 4. Eczema or chronic ulcers. Cuttlefish bone (Wuzeigu) is used with Phellodendron bark (Huangbai) and Natural indigo (Qingdai) for external use in powder form.;Treatment of: 1. Hemorrhage. Cuttlefish bone (Wuzeigu) is used with Rubia root (Qiancao), Carbonized petiole of windmill palm (Zonglutan) and Donkey hide gelatin (Ejiao). Cuttlefish bone (Wuzeigu) can be used alone for bleeding due to external injuries. 2;;;Astriction;收涩
紫背黄芩;Discolored Skullcap;ZI BEI HUANG QIN;Scutellaria discolor;;;;;;;;whole herb;To resolve exterior and abate fever, relieve cough, clear heat and resolve toxin.;Common cold with fever, swelling pain in throat, vomiting diarrhea with abdominal pain, vacuity taxation cough, heat toxin sore and welling abscess, otitis media.;;;;
炙甘草;Prepared Liauorice Root;ZHI GAN CAO;Radix Glycyrrhizae Preparata;"Mild; Sweet";Lung; Spleen; Stomach; Heart;;;Radix Glycyrrhizae.;Treatment of deficiency of spleen and stomach, lassitude, palpitation, arrhythmia.;Treatment of deficiency of spleen and stomach, lassitude, palpitation, arrhythmia.;;;For tonifying weakness;补虚
农吉利;Purpleflower Crotalaria Herb;NONG JI LI;Herba Crotalariae;;;;;;;;Crotalaria sessiliflora L.;For carcinoma of skin and cervix.;1. Monocrotaline is an anticarcinogenic component which inhibits the synthesis of DNA and RNA. 2. Its extract relieves cough and dyspnea. 3. The metabolite of monocrotaline in liver has the toxic effect similar to alkylating agents, which impairs the digestive tract, liver, kidney and hematopoietic system.;;1. Monocrotaline is an anticarcinogenic component which inhibits the synthesis of DNA and RNA. 2. Its extract relieves cough and dyspnea. 3. The metabolite of monocrotaline in liver has the toxic effect similar to alkylating agents, which impairs the dige;Antitumor;抗肿瘤
炙全蝎;Prepared Scorpion;ZHI QUAN XIE;Scorpio Preparata;"Mild; Pungent";Liver;;;;;;Buthus martensii karsch;Treatment of infantile convulsion, twitching, spasm, apoplectic hemiplegia, tetanus, chronic arthritis, headache or migraine, sores, scrofula.;1. Anti-convulsive and sedative.2. Exerting significant and prolong hypotensive effect.3. Buthotoxin can induce respiratory paralysis, salivation and convulsion.;Toxic;1. Anti-convulsive and sedative.2. Exerting significant and prolong hypotensive effect.3. Buthotoxin can induce respiratory paralysis, salivation and convulsion.;For calming liver and containing wind;平肝息风
莲房;Lotus Receptacle;LIAN FANG;Receptaculum Nelumbinis;;;;;;;;;To remove blood stasis and arrest bleeding.;Treatment of abnormal uterine bleeding, hematurial hemorrhoidal bleeding, postpartum blood stasis, lochiorrhea.;;;Astringent Hemostatic Medicinal;收敛止血药
降香油;Odoriferous Rosewood oil;JIANG XIANG YOU;Oleum Dalbergiae Odoriferae;"Warm; Pungent";Liver; Heart;;;;;Dalbergia odorifera ;Treatment of epigastric pain, costal and hypochondriac pains due tostagnancy of qi of the liver, angina pectoris, traumatic injuries and bleeding.;Treatment of epigastric pain, costal and hypochondriac pains due tostagnancy of qi of the liver, angina pectoris, traumatic injuries and bleeding.;;;;
晚蚕砂;Silkworm excrement;WAN CAN SHA;Excrementum Bombycis Mori;"Warm; Pungent; Sweet";Spleen; Stomach; Liver;;;;;1. Treatment of damp-heat obstruction syndrome. Silkworm excrement (Cansha) is used with Tetrandra root (Fangji), Coix seed (Yiyiren) and Talc (Huashi) in the formula Xuanbi Tang .2. Eczema. The decoction of the herb is used for external washing. 3. Treatment of turbid dampness blocking the spleen and stomach manifested as vomiting, diarrhea, cramps and abdominal pain. Silkworm excrement (Cansha) is used with Scutellaria root (Huangqin), Chaenomeles fruit (Mugua) and Evodia fruit (Wuzhuyu) in the formula Canshi Tang.;1. Treatment of damp-heat obstruction syndrome. Silkworm excrement (Cansha) is used with Tetrandra root (Fangji), Coix seed (Yiyiren) and Talc (Huashi) in the formula Xuanbi Tang .2. Eczema. The decoction of the herb is used for external washing. 3. Treat;;;For dispelling wind-dampness;祛风湿
草胡椒;Shiny Peperomia;CAO HU JIAO;Peperomia pellucida;;;;;;;;whole herb;To clear heat and resolve toxin, dissipate stasis and relieve pain, stanch bleeding.;Swelling toxin of welling abscess and sore, burns and scalds, knocks and falls, bleeding due to external injury.;;;;
石楠藤;;SHI NAN TENG ;Piper wallichii [Syn. Piper wallichii var. hupehense ];;;;;;;;stem-leaf or whole herb;To dispel wind-damp, strengthen lumbus and knees, supplement kidney and invigorate yang , relieve cough and calm asthma, quicken blood and relieve pain.;Wind-cold-damp impediment, aching in lumbus and knees, impotence, cough and asthma, dysmenorrhea, painful swelling from knocks and falls.;;;;
希莶;Common St Paulswort Equivalent plant: Siegesbeckia orientalis var pubescens, Siegesbeckia orientalis var glabrescens;XI XIAN;Siegesbeckia orientalis;"Cold; Bitter";Spleen; Liver;;;;;aerial parts;To dispel wind-damp, free channels and network vessels, clear heat and resolve toxin.;Wind-damp impediment pain, lassitude in lumbus and knees, hemiplegia, hypertension, malaria, jaundice, swelling toxin of welling abscess and sore, wind papules, damp sore, animal and insect bites.;;1. Hypotensive. 2. A 1:22 decoction of Herba Siegesbeckiae and Clerodendri Trichotomi inhibits the development of egg-white induced arthritis in rats, but  no such effect is observed when used individually. ;For dispelling wind-dampness;祛风湿
孩儿参;Prince Ginseng Root;HAI ER SHEN;Radix Pseudostellariae;;;;;;;;Pseudostellaria heterophylla (Miq.) Pax ex Pax et Hooffm.;To supplement vital Qi and promote the production of body fluid. For insufficiency of spleen-yin, spleen-energy, lung-yin and lung-energy manifested as poor appetite, fatigue, thirst and general debilityduring convalescence, for dryness of lung with non-productive cough, febrile diseases with consumption of body fluid and thirst, especially for insufficiency of yin and vital energy in children and spontaneous perspiration in debilitated persons.;To supplement vital Qi and promote the production of body fluid. For insufficiency of spleen-yin, spleen-energy, lung-yin and lung-energy manifested as poor appetite, fatigue, thirst and general debilityduring convalescence, for dryness of lung with non-p;;;;
血余炭;Carbonized Hair;XUE YU TAN;Crinis Carbonisatus;"Mild; Bitter; Punkery";Bladder; Stomach; Liver;;;;;Treatment of hematemesis, epistaxis, hematuria, abnormal uterine bleeding, traumatic bleeding.;1. Inhibiting the growth of various pathogenic bacteria2. Shortening the bleeding time , blood clotting time and plasma recalcification time.;;1. Inhibiting the growth of various pathogenic bacteria2. Shortening the bleeding time , blood clotting time and plasma recalcification time.;Bleeding control;止血
鹿角霜;Degelatined Deer-horn;LU JIAO SHUANG;Cornu Cervi Degelatinatum;"Warm; Salty";Liver; Kidney;;;;;;Treatment of yang deficiency of the spleen and the kidney characterized by anorexia, vomiting, diarrhea, excessive leukorrhea, enuresis or frequent urination, abnormal uterine bleeding, subcutaneous infections and modulations.;Treatment of yang deficiency of the spleen and the kidney characterized by anorexia, vomiting, diarrhea, excessive leukorrhea, enuresis or frequent urination, abnormal uterine bleeding, subcutaneous infections and modulations.;;;For tonifying weakness;补虚
白鲜树;Shortstamen Stephania;BAI XIAN SHU;Stephania brachyandra;;;;;;;;tuberoid;To move qi and quicken blood, dispel wind and relieve pain, clear heat and resolve toxin.;Stomachache, wind-damp impediment pain, knocks and falls, dysmenorrhea, swelling toxin of welling abscess and boil, eczema.;;;;
阳桃;Country Gooseberry;YANG TAO;Averrhoa carambola;;;;;;;;fruit;To clear heat, engender liquid, disinhibit urine, resolve toxin.;Wind-heat cough, sore pharynx, vexation and thirst, stone strangury, oral putrescence, toothache, malaria with splenomegaly, resolve liquor toxin.;;;;
;WU MO;MYRTUS CUMINI] (MYRTACEAE);Eugenia jambolana [Syn. Syzygium cumin;;;;;;;;leaf;To resolve toxin, kill worms, relieve itch.;Dysentery, swelling of sores, eczema titillation.;;;;
;Caesalpinia;YUN SHI YE;Caesalpinia decapetala;;;;;;;;leaf;To clear heat and resolve toxin, dispel stasis and relieve pain, expel worms, free stool.;Intervallic fever, acute gastritis, chronic gastritis, gastric ulcer, dysentery, indigestion, intestinal worm accumulation, constipation, swollen boil.;;;;
天葵子;Muskroot-like Semiaquilegia Root;TIAN KUI ZI;Radix Semiaquilegiae;"Cold; Sweet; Bitter";Stomach; Liver;;;;;;To remove toxic heat and promote the subsidence of swelling.;Treatment of carbuncles, boils and sores, mastitis, scrofula, venomous snake bite.;;;Antipyretic Detoxicate Drugs;清热解毒药
合欢花;Albizia Flower;HE HUAN HUA;Flos Albiziae;;;;;;;;Sesamum indicum L.;Treatment of anxiety, depression and insomnia.;Treatment of anxiety, depression and insomnia.;;;Spirit calming;安神
铅粉;Lead Powder;QIAN FEN;ceruse;"Minor cold; Pungent";Liver; Cardiovascular;;;;;;1. Treatment of scabies, pustulosis, unhealed lesion, burn, etc., usually mixed with honey for external use. 2. Treatment of malaria, used together with Herba Artemisiae Annuae or Radix Dichroae.;It chiefly contains Pb3O4 or 2PbO.PbO2. It is a bactericide and parasticide, and inhibits the secretion of mucosa.;Toxic;It chiefly contains Pb3O4 or 2PbO.PbO2. It is a bactericide and parasticide, and inhibits the secretion of mucosa. ;For eliminating toxic materials, dissolving rottenness and growing new muscles;拔毒化腐生肌
瓦楞子;Arc Shell;WA LENG ZI;Concha Arcae;"Salty; neutral";Lung;  stomach; liver;;;;;To eliminate phlegm, to remove blood stasis, to soften hard masses and dissolve lumps, and to relieve gastric pain by reducing acid.;Treatment of retention of sticky phlegm difficult to expectorate, goitre, scrofula, masses in the abdomen, gastric pain with acid regurgitation.;;;Phlegresolving Medicine;化痰药
龙齿;dens draconis fossilia dragon's teeth;LONG CHI;Dens Draconis;"Cool; Punkery";Large Intestine; Liver; Heart; Kidney;;;;Supression and spirit calming;;;;Spirit calming;安神
白茯苓;white Indian Bread;BAI FU LING;Poriae Alba;"Mild; Sweet; Neutral";Lung; Spleen; Heart;;;;Poria cocos (Schw. ) Wolf;Treatment of edema with oliguria, dizziness and palpitation caused by retained fluid, diminished function of the spleen marked by anorexia, loose stools or diarrhea, restlessness and insomnia.;Treatment of edema with oliguria, dizziness and palpitation caused by retained fluid, diminished function of the spleen marked by anorexia, loose stools or diarrhea, restlessness and insomnia.;;;For promoting diuresis and penetrating dampness;利水渗湿
贝母;Bulb of Fritillary;BEI MU;Bulbus Fritillariae;"Minor cold; Pungent; Sweet; Bitter";Lung; Heart;;;;;;Treament of heat in the lung with cough, sticky and bloody sputum, and distress in the chest.;Treament of heat in the lung with cough, sticky and bloody sputum, and distress in the chest.;;;For desolving phlegm, stopping cougth, and soothing breathing;化痰止咳平喘
金礞石;Mica-schist;JIN MENG SHI;Lapis Micae Aureus;"Mild; Sweet; Salty";Lung; Liver; Heart;;;;;Treatment of cough and dyspnea due to retention of sticky phlegm, irritability and oppressed feeling in the chest, epilepsy, mania, convulsions.;Treatment of cough and dyspnea due to retention of sticky phlegm, irritability and oppressed feeling in the chest, epilepsy, mania, convulsions.;;;For desolving phlegm, stopping cougth, and soothing breathing;化痰止咳平喘
肿节风;all-grass of Glabrous sarcandra;ZHONG JIE FENG;Herba Sarcatidrae;;;;;;;;;1. Inhibiting the growth of Staphylococcus aureus, Pseudomonas aeruginosa, Salmonella typhosa and various Shigella dysenteriae in vitro. 2. Nonspecfic anti-inflammatory and promoting the repair of gastric ulcer. 3. Its volatile oil and flavones inhibit sa;1. To clear heat and toxic material. For carbuncle due to intensive heat, aphthae, gingivitis, dysentery, filariasis, etc. 2. To promote blood circulation and remove blood stasis, expel wind and dredge channels. For trauma, rheumatism, stomachache. Recent;;;Antipyretic Detoxicate Drugs;清热解毒药
阿胶;Donkey hide gelatin;E JIAO;Colla Corii Asini;"Mild; Sweet";Lung; Liver; Kidney;;;;;1. Treatment of blood deficiency manifested as dizziness, blurred vision and palpitations. Donkey hide gelatin (Ejiao) is used with Ginseng (Renshen), Chinese angelica root (Danggui) and Prepared rehmannia root (Shudihuang). 2. Treatment of hemorrhage manifested as vomiting with bl;1. Increase the amounts of erythrocyes, hemoglobin and thrombocytes in blood.2. Promote lymphocyte transformation.3. Facilitate the absorption and accumulation of calcium in the body.;;1. Increase the amounts of erythrocyes, hemoglobin and thrombocytes in blood.2. Promote lymphocyte transformation.3. Facilitate the absorption and accumulation of calcium in the body.;For tonifying weakness;补虚
二七狗牙花;;ER RUI HE LIAN DOU;Drymaria diandra [Syn. Drymaria cordata ssp. diandra];;;;;;;;whole herb;To clear heat and disinhibit damp, quicken blood and resolve toxin.;Jaundice, edema, malaria, fright wind, leg qi due to wind-damp, toxin of sore welling abscess and boils, child gan accumulation, eye screen, outcrop.;;;;
黑醋;Contamned acetic acid;HEI CU;vinegar;"Warm; Sour; Bitter";Stomach; Liver;;;;;;For breaking blood and desolving stasis;;;;Blood activation and stasis removal;活血化淤
;Hill Stemona;XIAO QIU BAI BU;Stemona collinsae;;;;;;;;root;Anticarcinoma.;;;;;
制草乌;Prepared Kusnezoff Monkshood Root;ZHI CAO WU;Radix Aconiti Kusnezoffii Preparata;"Hot; Pungent";Spleen; Heart; Kidney;;;;Radix Aconiti Kusnezoffii.;Treatment of rheumatic and rheumatoid arthralgia, precordial and abdominal pain with cold sensation, abdominal colic caused by cold, anaethesia.;Treatment of rheumatic and rheumatoid arthralgia, precordial and abdominal pain with cold sensation, abdominal colic caused by cold, anaethesia.;Extremely Toxic;;For warming interior;温里
;Tangut Daphne Equivalent plant: Daphne retusa;SHAN GAN RUI XIANG;Daphne tangutica;;;;;;;;stem bark and root cortex;To dispel wind and free network vessels, dissipate stasis and relieve pain.;Wind-damp impediment pain, numbness in limbs, headache, stomachache, lumbago, knocks and falls.;;;;
大枫子仁;Chaulmoogra seed;DA FENG ZI REN;Semen Chaulmoograe;"Hot; Pungent";Spleen; Liver; Kidney;;;;Hydnocarpus anthelmintica Pier.;Treatment of leprosy, both internal and external use, external use for scabies, tinea and syphilitic skin lesion.;Chaulmoogric oil inhibits the growth of Bacillus tuberculosis and other acid-fast bacillus in vitro, its effect is as 100 times as that of phenol.;Slightly Toxic;Chaulmoogric oil inhibits the growth of Bacillus tuberculosis and other acid-fast bacillus in vitro, its effect is as 100 times as that of phenol.;Toxication reduction, anthelmintic, dampness removal, and itching control;解毒杀虫燥湿止痒
地蟞虫;;DI BIE CHONG;Eupolyphaga Seu OpisthopLatia;;;;;;;;;Blood activation and injury healing;;;;Blood activation and stasis removal;活血化淤
芜荑;fruit of Ulmus macrocarpa;WU YI;Fructus Ulmi Macrocarpae;"Warm; Pungent; Bitter";Spleen; Stomach;;;;;Ulmus macrocarpa Hance ;Anthelmintic;;;;Anthelmintic;驱虫
;Zedoary Turmeric Equivalent plant: Curcuma kwangsiensis;PING E SHU;Curcuma zedoaria [Syn. Curcuma aeruginosa];;;;;;;;rhizome;To break blood and dispel stasis, move qi and relieve pain, anticancer.;Amenorrhea and dysmenorrhea, concretion conglomeration accumulation and gathering, food accumulation, distending pain in stomach duct and abdomen, indigestion, carcinoma of ovary, carcinoma of skin, genital carcinoma, malignant lymphoma, primary hepatoma, carcinoma of thyroid, carcinoma of stomach, carcinoma of lung.;;;;
